,,,,,,,,"(thousand KRW)","(thousand KRW)"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","기관운영","기본경비","2155537","2155537"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","기관운영","인건비","2979310","2979310"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","소통협력","122399","122399"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","안전사회건설 종합대책 수립","81300","81300"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","자료기록관 설치 운영","46960","46960"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","진상규명 실지조사","314920","314920"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","참사 실태 조사 연구","42300","42300"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","청문회 및 감정 검정 실시","268990","268990"
"2016","4·16세월호참사 특별조사위원회","일반회계",,"일반·지방행정","일반행정","세월호참사조사","피해자 지원 대책 점검","160195","160195"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","484000","484000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","23128000","23022000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","406000","406000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","10628000","10619600"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","360000","360000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","인건비","75980563","75980563"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","6160000","6160000"
"2016","감사원","일반회계",,"일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","1185000","1185000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","3583000","3583000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","34754376","34754376"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","장례식장운영","2198000","2198000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","경찰병원운영","진료업무지원","23385000","23385000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","계정간거래(전출금)","감가상각비(경찰병원계정)","1000","1000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","계정간거래(전출금)","당기순이익(경찰병원계정)","1000","1000"
"2016","경찰청","경찰병원","손익계정","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원계정)","4023000","4023000"
"2016","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","146000","146000"
"2016","경찰청","경찰병원","자본계정","공공질서및안전","경찰","경찰병원운영","자산취득","2746000","2746000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","2601000","2601000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","경찰복지증진","28532000","24607000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","1213000","1213000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부기본경비","383450000","383450000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","본부인건비","7478299186","7478299186"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관기본경비","11408000","11408000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","소속기관인건비","81275746","81275746"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","일반행정업무지원","494448000","498640200"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","경찰행정지원","행정효율성증진및능력개발","3043000","3043000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통사고예방","265635000","271815000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","교통안전·소통확보","교통행정전산화(정보화)","3153000","3153000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","국제교류협력활동","2802000","3018000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","대테러상황관리","5431000","7490000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","보안경찰활동","35972000","35972000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","국가안보확보","외사경찰활동","16188000","16188000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","범죄수사","117600000","117600000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","사이버수사","7013000","7003000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄수사활동","첨단과학수사","17846000","18446000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","범죄예방","29113000","29313000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","범죄예방및사회적약자보호","여성청소년보호활동","15898000","15998000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","경비경찰역량강화","183465000","183225000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","사회질서유지","치안정보활동","42019000","41214000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰대학운영","11661000","11647000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","경찰보수교육","8189000","8489000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","수사경찰전문교육","2466000","2466000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","신임순경교육","22465000","22465000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","전문경찰양성","우수인재확보및능력개발","8517000","8517000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰유무선망개선","58252000","58252000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰장비현대화","234362000","231214000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","경찰정보화기반고도화(정보화)","56458000","56458000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","정책연구개발(R&D)","5106000","5106000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","25284000","25284000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","회계간거래(전출금)","회계간전출금(책특병원손익계정)","32987000","32987000"
"2016","경찰청","일반회계",,"공공질서및안전","경찰","회계간거래(전출금)","회계간전출금(책특병원자본계정)","2853000","2853000"
"2016","경찰청","일반회계",,"사회복지","취약계층지원","범죄예방및사회적약자보호","여성청소년보호활동","22515000","22515000"
"2016","경찰청","지역발전특별회계","경제발전계정","공공질서및안전","경찰","교통안전·소통확보","광역교통관리체계개선","1741000","1741000"
"2016","경찰청","지역발전특별회계","제주특별자치도계정","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","3726000","3726000"
"2016","경찰청","혁신도시건설특별회계",,"공공질서및안전","경찰","경찰행정지원","혁신도시건설","49551000","49551000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","고용보험연구개발","3946000","3946000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","기금운영비","97464000","97464000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용노동행정지원","기금운영비(자영업자)","677000","677000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","건설근로자고용지원금","7693000","7693000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용동향조사분석","4958000","4958000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용보험징수관리","20093000","21933000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용센터인력지원","59320000","59320000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용유지지원금","31406000","31406000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용전산망관리(정보화)","31031000","31031000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용창출지원사업","60849000","70849000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","고용촉진지원금","109327000","101327000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","민간고용서비스지원","43269000","46369000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","세대간상생고용지원","61907000","51507000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","실업급여","5270591000","5270591000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","실업크레딧지원","21608000","21608000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","자영업자 실업급여","5204000","5204000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","중소기업 청년취업 인턴제","194078000","194078000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","지역고용촉진지원","100349000","99349000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","직업정보지원","7741000","7741000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용정책","학교와 노동시장연계 지원","16517000","16517000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","고령자고용촉진지원","143016000","143016000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","일·가정양립지원","1147328000","1147328000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","고용평등실현","일터혁신컨설팅지원","9026000","9026000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","여유자금운용","여유자금운용(고용보험기금)","3822224000","3826169000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","기타 능력개발지원","18231000","18231000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","능력개발융자지원(융자)","52250000","52250000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","사업주능력개발지원금","526311000","526311000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","실업자및근로자능력개발지원","579643000","579643000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","자영업자 고용안정ㆍ직업능력개발지원","468000","468000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","중소기업능력개발지원","299854000","299854000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국기술교육대학교능력개발사업지원","43221000","43221000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국산업인력공단능력개발사업지원","192482000","192997000"
"2016","고용노동부","고용보험기금",,"사회복지","노동","직업능력개발","한국폴리텍대학능력개발사업지원","115838000","115838000"
"2016","고용노동부","근로복지진흥기금","신용보증사업계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","3908000","3908000"
"2016","고용노동부","근로복지진흥기금","신용보증사업계정","사회복지","노동","근로조건보호및복지증진","신용보증대위변제","15878000","15878000"
"2016","고용노동부","근로복지진흥기금","실업대책사업계정","사회복지","노동","여유자금운용","여유자금운용(근복기금)","35044000","35044000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","계정간거래(전출금)","중소계정에서 신용계정으로의 전출금","7986000","7986000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","8531000","8531000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원(차입금이자)","차입금이자상환(복지기금)","11000","11000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","근로조건보호및복지증진","근로자복지지원","21418000","19918000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","근로조건보호및복지증진","근로자생활안정대부(융자)","100000000","100000000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","여유자금운용","여유자금운용(근복기금)","166048000","167548000"
"2016","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","차입금원금상환","기타민간차입원금상환(복지기금)","68000","68000"
"2016","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","315427000","315427000"
"2016","고용노동부","산업재해보상보험및예방기금",,"사회복지","노동","고용노동행정지원","산재보험및예방연구개발","597000","597000"
