"회계연도","소관명","회계명","계정명","수입관명","수입항명","세입예산액/당초수입계획액(원)","세입예산액/수정수입계획액(원)","이체등증감액(원)","세입예산현액/수입계획현액(원)","징수결정액(원)","수납액(원)","수납순액(원)","불납결손액(원)","미수납액(원)"
"2016","대통령비서실 및 국가안보실","일반회계",,"재산수입","관유물대여료","43000000","43000000","0","43000000","45717000","45717000","45717000","0","0"
"2016","대통령비서실 및 국가안보실","일반회계",,"재산수입","기타이자수입및재산수입","1000000","1000000","0","1000000","0","0","0","0","0"
"2016","대통령비서실 및 국가안보실","일반회계",,"경상이전수입","변상금및위약금","0","0","0","0","418600","418600","418600","0","0"
"2016","대통령비서실 및 국가안보실","일반회계",,"경상이전수입","기타경상이전수입","21000000","21000000","0","21000000","15290380","15290380","15290380","0","0"
"2016","대통령비서실 및 국가안보실","일반회계",,"재화및용역판매수입","잡수입","10000000","10000000","0","10000000","9404310","9404310","9404310","0","0"
"2016","대통령경호실","일반회계",,"재산수입","관유물대여료","60000000","60000000","0","60000000","76916320","76916320","76916320","0","0"
"2016","대통령경호실","일반회계",,"경상이전수입","변상금및위약금","0","0","0","0","19649260","19649260","19649260","0","0"
"2016","대통령경호실","일반회계",,"경상이전수입","기타경상이전수입","0","0","0","0","2941230","2941230","2941230","0","0"
"2016","대통령경호실","일반회계",,"재화및용역판매수입","면허료및수수료","2000000","2000000","0","2000000","0","0","0","0","0"
"2016","대통령경호실","일반회계",,"재화및용역판매수입","잡수입","31000000","31000000","0","31000000","15385210","15385210","15385210","0","0"
"2016","대통령경호실","일반회계",,"관유물매각대","토지및무형자산매각대","0","0","0","0","1386830340","1386830340","1386830340","0","0"
"2016","국회","일반회계",,"재산수입","관유물대여료","821000000","821000000","0","821000000","701735540","701735540","701735540","0","0"
"2016","국회","일반회계",,"재산수입","기타이자수입및재산수입","5000000","5000000","0","5000000","4014350","4014350","4014350","0","0"
"2016","국회","일반회계",,"경상이전수입","변상금및위약금","33000000","33000000","0","33000000","179264360","10990250","10990250","0","168274110"
"2016","국회","일반회계",,"경상이전수입","기타경상이전수입","600000000","600000000","0","600000000","1198649450","1115945630","1115945630","0","82703820"
"2016","국회","일반회계",,"재화및용역판매수입","면허료및수수료","150000000","150000000","0","150000000","102479380","102479380","102479380","0","0"
"2016","국회","일반회계",,"재화및용역판매수입","잡수입","50000000","50000000","0","50000000","645024400","645024400","645024400","0","0"
"2016","국회","일반회계",,"수입대체경비수입","잡수입","126000000","126000000","0","126000000","126550000","126550000","126550000","0","0"
"2016","국회","일반회계",,"관유물매각대","고정자산매각대","100000000","100000000","0","100000000","10100000","10100000","10100000","0","0"
"2016","대법원","일반회계",,"재산수입","관유물대여료","3071000000","3071000000","0","3071000000","2936935100","2149412940","2149412940","0","787522160"
"2016","대법원","일반회계",,"재산수입","기타이자수입및재산수입","40000000","40000000","0","40000000","49516010","49205750","49205750","0","310260"
"2016","대법원","일반회계",,"경상이전수입","벌금,몰수금및과태료","100000000","100000000","0","100000000","129502140","122502140","122502140","0","7000000"
"2016","대법원","일반회계",,"경상이전수입","변상금및위약금","235000000","235000000","0","235000000","1065321290","452823260","452823260","3942190","608555840"
"2016","대법원","일반회계",,"경상이전수입","가산금","0","0","0","0","592959890","10820","10820","0","592949070"
"2016","대법원","일반회계",,"경상이전수입","기타경상이전수입","118705000000","118705000000","0","118705000000","101364608610","101168132670","101168132670","0","196475940"
"2016","대법원","일반회계",,"재화및용역판매수입","면허료및수수료","350000000000","350000000000","0","350000000000","274302485130","274302485130","274302485130","0","0"
"2016","대법원","일반회계",,"재화및용역판매수입","잡수입","146000000","146000000","0","146000000","293182520","293182520","293182520","0","0"
"2016","대법원","일반회계",,"정부내부수입및기타","전입금","102518000000","102518000000","0","102518000000","40000000000","40000000000","40000000000","0","0"
"2016","대법원","등기특별회계",,"재산수입","관유물대여료","100000000","100000000","0","100000000","168636340","168636340","168636340","0","0"
"2016","대법원","등기특별회계",,"재산수입","기타이자수입및재산수입","148000000","148000000","0","148000000","144103730","44503780","44503780","0","99599950"
"2016","대법원","등기특별회계",,"경상이전수입","기타경상이전수입","53000000","53000000","0","53000000","20009230","20009230","20009230","0","0"
"2016","대법원","등기특별회계",,"재화및용역판매수입","면허료및수수료","291040000000","291040000000","0","291040000000","248256312570","248256184170","248256184170","0","128400"
"2016","대법원","등기특별회계",,"재화및용역판매수입","잡수입","3000000","3000000","0","3000000","3088740","3088740","3088740","0","0"
"2016","대법원","등기특별회계",,"관유물매각대","고정자산매각대","443000000","443000000","0","443000000","1707745880","1265352600","1265352600","0","442393280"
